sset No,Description,Status,ราคาเช่า,
528,L.35,800L,ใช้งาน,500,1
654,L64-13,800L,ใช้งาน,500,1
359,L64-15,800L,ใช้งาน,500,1
646,L65-07,800L,ใช้งาน,500,1
1,M.107,450L,ใช้งาน,350,1
340,M60-12,450L,ใช้งาน,350,1
867,M61-01,450L,ใช้งาน,350,1
865,M61-03,450L,ใช้งาน,350,1
863,M61-05,450L,ใช้งาน,350,1
862,M61-06,450L,ใช้งาน,350,1
857,M61-11,450L,ใช้งาน,350,1
544,M61-12,450L,ใช้งาน,350,1
855,M61-13,450L,ใช้งาน,350,1
854,M61-14,450L,ใช้งาน,350,1
852,M61-16,450L,ใช้งาน,350,1
850,M61-18,450L,ใช้งาน,350,1
846,M62-22,450L,ใช้งาน,350,1
842,M62-26,450L,ใช้งาน,350,1
837,M62-31,450L,ใช้งาน,350,1
836,M62-32,450L,ใช้งาน,350,1
835,M62-33,450L,ใช้งาน,350,1
834,M62-34,450L,ใช้งาน,350,1
833,M62-35,450L,ใช้งาน,350,1
832,M62-36,450L,ใช้งาน,350,1
829,M62-39,450L,ใช้งาน,350,1
828,M62-40,450L,ใช้งาน,350,1
541,M62-43,450L,ใช้งาน,350,1
824,M62-44,450L,ใช้งาน,350,1
823,M62-45,450L,ใช้งาน,350,1
822,M62-46,450L,ใช้งาน,350,1
819,M62-49,450L,ใช้งาน,350,1
817,M62-51,450L,ใช้งาน,350,1
816,M62-52,450L,ใช้งาน,350,1
812,M62-56,450L,ใช้งาน,350,1
808,M62-60,450L,ใช้งาน,350,1
806,M62-62,450L,ใช้งาน,350,1
801,M62-67,450L,ใช้งาน,350,1
800,M62-68,450L,ใช้งาน,350,1
798,M62-70,450L,ใช้งาน,350,1
797,M62-71,450L,ใช้งาน,350,1
796,M62-72,450L,ใช้งาน,350,1
795,M62-73,450L,ใช้งาน,350,1
794,M62-74,450L,ใช้งาน,350,1
793,M62-75,450L,ใช้งาน,350,1
211,M67-01,450L,ใช้งาน,350,1
210,M67-02,450L,ใช้งาน,350,1
208,M67-04,450L,ใช้งาน,350,1
206,M67-06,450L,ใช้งาน,350,1
324,S.184,200L,ใช้งาน,200,1
4,S.245,200L,ใช้งาน,200,1
345,S.59-19,200L,ใช้งาน,200,1
556,S.59-2,200L,ใช้งาน,200,1
481,S.59-8,200L,ใช้งาน,200,1
525,S15,200L,ใช้งาน,200,1
199,S24-003,200L,ใช้งาน,200,1
172,S24-030,200L,ใช้งาน,200,1
31,S24-064,200L,ใช้งาน,200,1
30,S24-065,200L,ใช้งาน,200,1
29,S24-066,200L,ใช้งาน,200,1
28,S24-067,200L,ใช้งาน,200,1
27,S24-068,200L,ใช้งาน,200,1
25,S24-070,200L,ใช้งาน,200,1
12,S24-071,200L,ใช้งาน,200,1
21,S24-072,200L,ใช้งาน,200,1
19,S24-073,200L,ใช้งาน,200,1
16,S24-074,200L,ใช้งาน,200,1
13,S24-075,200L,ใช้งาน,200,1
24,S24-076,200L,ใช้งาน,200,1
10,S24-078,200L,ใช้งาน,200,1
7,S24-081,200L,ใช้งาน,200,1
11,S24-082,200L,ใช้งาน,200,1
2,S24-084,200L,ใช้งาน,200,1
327,S59-27,200L,ใช้งาน,200,1
1605,S61-01,200L,ใช้งาน,200,1
1602,S61-04,200L,ใช้งาน,200,1
1600,S61-06,200L,ใช้งาน,200,1
1594,S61-12,200L,ใช้งาน,200,1
1591,S61-15,200L,ใช้งาน,200,1
1587,S61-19,200L,ใช้งาน,200,1
1584,S61-22,200L,ใช้งาน,200,1
1583,S61-23,200L,ใช้งาน,200,1
1579,S61-27,200L,ใช้งาน,200,1
1577,S61-29,200L,ใช้งาน,200,1
1571,S61-35,200L,ใช้งาน,200,1
1568,S61-38,200L,ใช้งาน,200,1
1566,S61-40,200L,ใช้งาน,200,1
1565,S61-41,200L,ใช้งาน,200,1
1564,S61-42,200L,ใช้งาน,200,1
1562,S61-44,200L,ใช้งาน,200,1
1561,S61-45,200L,ใช้งาน,200,1
1559,S61-47,200L,ใช้งาน,200,1
1556,S61-50,200L,ใช้งาน,200,1
1555,S61-51,200L,ใช้งาน,200,1
1554,S61-52,200L,ใช้งาน,200,1
1553,S61-53,200L,ใช้งาน,200,1
1551,S61-55,200L,ใช้งาน,200,1
1547,S61-59,200L,ใช้งาน,200,1
1546,S61-60,200L,ใช้งาน,200,1
1543,S61-63,200L,ใช้งาน,200,1
1542,S61-64,200L,ใช้งาน,200,1
1541,S61-65,200L,ใช้งาน,200,1
1505,S62-101,200L,ใช้งาน,200,1
1504,S62-102,200L,ใช้งาน,200,1
1498,S62-108,200L,ใช้งาน,200,1
1497,S62-109,200L,ใช้งาน,200,1
1491,S62-115,200L,ใช้งาน,200,1
1490,S62-116,200L,ใช้งาน,200,1
1489,S62-117,200L,ใช้งาน,200,1
1488,S62-118,200L,ใช้งาน,200,1
1487,S62-119,200L,ใช้งาน,200,1
1486,S62-120,200L,ใช้งาน,200,1
1479,S62-127,200L,ใช้งาน,200,1
1476,S62-130,200L,ใช้งาน,200,1
1474,S62-132,200L,ใช้งาน,200,1
1472,S62-134,200L,ใช้งาน,200,1
1471,S62-135,200L,ใช้งาน,200,1
1469,S62-137,200L,ใช้งาน,200,1
1468,S62-138,200L,ใช้งาน,200,1
487,S62-139,200L,ใช้งาน,200,1
1467,S62-140,200L,ใช้งาน,200,1
1464,S62-143,200L,ใช้งาน,200,1
1463,S62-144,200L,ใช้งาน,200,1
1453,S62-154,200L,ใช้งาน,200,1
1452,S62-155,200L,ใช้งาน,200,1
1450,S62-157,200L,ใช้งาน,200,1
1447,S62-160,200L,ใช้งาน,200,1
1446,S62-161,200L,ใช้งาน,200,1
1445,S62-162,200L,ใช้งาน,200,1
1443,S62-164,200L,ใช้งาน,200,1
1442,S62-165,200L,ใช้งาน,200,1
1441,S62-166,200L,ใช้งาน,200,1
1438,S62-169,200L,ใช้งาน,200,1
1433,S62-174,200L,ใช้งาน,200,1
1432,S62-175,200L,ใช้งาน,200,1
1426,S62-181,200L,ใช้งาน,200,1
1425,S62-182,200L,ใช้งาน,200,1
1424,S62-183,200L,ใช้งาน,200,1
1422,S62-185,200L,ใช้งาน,200,1
1416,S62-191,200L,ใช้งาน,200,1
1412,S62-195,200L,ใช้งาน,200,1
1410,S62-197,200L,ใช้งาน,200,1
1403,S62-204,200L,ใช้งาน,200,1
1402,S62-205,200L,ใช้งาน,200,1
1396,S62-211,200L,ใช้งาน,200,1
1395,S62-212,200L,ใช้งาน,200,1
1394,S62-213,200L,ใช้งาน,200,1
1392,S62-215,200L,ใช้งาน,200,1
1391,S62-216,200L,ใช้งาน,200,1
1389,S62-218,200L,ใช้งาน,200,1
1388,S62-219,200L,ใช้งาน,200,1
1387,S62-220,200L,ใช้งาน,200,1
1386,S62-221,200L,ใช้งาน,200,1
1383,S62-224,200L,ใช้งาน,200,1
1381,S62-226,200L,ใช้งาน,200,1
1379,S62-228,200L,ใช้งาน,200,1
1378,S62-229,200L,ใช้งาน,200,1
1375,S62-232,200L,ใช้งาน,200,1
1371,S62-236,200L,ใช้งาน,200,1
1370,S62-237,200L,ใช้งาน,200,1
